Customer_ID,Occupation,Annual_Income,Monthly_Inhand_Salary,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Age,Credit_History_Age,Auto Loan,Credit-Builder Loan,Debt Consolidation Loan,Home Equity Loan,Mortgage Loan,None,Not Specified,Payday Loan,Personal Loan,Student Loan
CUS_0x1037,Accountant,15989.085,1086.42375,Good,No,Low_spent_Medium_value_payments,5.0,4.0,2.0,4.0,10.666666666666666,15.0,0.5,3.0,665.82,30.393148323493005,33.797020629881,103.22576863204004,251.61958573807803,45.0,20,1,1,0,0,1,0,0,0,0,0
CUS_0x1038,Architect,129473.16,10959.43,Standard,Yes,Low_spent_Medium_value_payments,3.0,4.0,10.0,3.0,23.75,13.0,9.11,10.0,568.21,29.519357615816702,255.327904990978,568.9014130452957,536.7136819637245,28.0,20,0,0,0,1,0,0,0,1,0,0
CUS_0x103e,Scientist,98690.8,7369.65155136078,Good,No,Low_spent_Medium_value_payments,5.0,7.0,9.0,1.0,6.333333333333333,17.0,10.76,4.0,706.96,33.141952551748666,947.586189541838,3532.649242224847,611.707727626649,41.0,27,0,0,0,0,0,0,0,0,0,1
CUS_0x1041,Teacher,8978.11,894.175833333333,Bad,Yes,Low_spent_Small_value_payments,8.0,8.0,30.0,9.0,50.0,17.0,18.23,10.0,4913.15,32.044791962405526,57.6796579068197,64.70079137967193,244.53713404684126,15.0,10,0,0,0,1,1,0,1,1,0,1
CUS_0x1044,Entrepreneur,33441.59,2748.79916666666,Good,No,High_spent_Small_value_payments,2.0,4.0,1.0,0.0,3.5,3.0,9.58,5.0,154.96,35.9022994783354,0.0,120.08336337405841,424.7965532926075,44.0,32,0,0,0,0,0,1,0,0,0,0
CUS_0x1048,Accountant,42387.54,3680.295,Standard,Yes,High_spent_Medium_value_payments,3.0,7.0,26.0,7.0,9.333333333333334,7.0,15.006666666666666,7.0,1835.67,30.899033725858132,225.88336897047802,76.67946571318787,312.1333319830007,27.0,10,0,0,1,1,0,0,1,1,1,0
CUS_0x104a,Mechanic,14981.39,1461.44916666666,Good,No,High_spent_Small_value_payments,2.0,7.0,5.0,4.0,2.0,3.0,0.63,4.0,1122.46,33.5502112584014,38.1159675194285,0.0,338.260687037895,37.0,32,1,0,0,0,1,0,1,1,0,0
CUS_0x104e,Teacher,19180.87,1688.40583333333,Standard,No,High_spent_Large_value_payments,8.0,4.0,18.0,4.0,5.0,17.0,7.653333333333333,6.0,1127.57,32.3000080358458,57.36421100960231,30.575223368808867,324.23448228825504,51.0,25,1,0,1,0,0,0,0,1,0,0
CUS_0x104f,Architect,11336.835,992.73625,Standard,Yes,High_spent_Small_value_payments,4.0,6.0,14.0,6.0,31.0,19.0,16.106666666666666,7.666666666666667,177.98,30.825465484677036,35.562730862502,50.480916342750106,279.896644461414,20.0,15,1,0,0,0,0,0,0,1,1,1
CUS_0x1051,Engineer,35022.22,2859.51833333333,Good,No,High_spent_Small_value_payments,3.0,5.0,4.0,1.0,6.0,10.75,1.36,5.0,1000.44,34.0955250234808,21.2145764523205,102.6998576668309,422.0373992141815,42.0,28,0,0,0,0,0,0,0,0,0,1
CUS_0x1056,Entrepreneur,16053.86,1051.73800259116,Bad,Yes,Low_spent_Small_value_payments,8.0,6.0,24.0,5.0,25.25,14.75,0.83,12.0,2107.76,31.918801559601697,153.67303859999248,118.50999104365435,246.31188507964572,45.0,16,0,0,1,0,0,0,1,0,1,1
CUS_0x1057,Writer,86617.16,7250.09666666666,Standard,No,Low_spent_Large_value_payments,8.0,4.0,6.0,3.0,14.333333333333334,20.0,10.26,6.666666666666667,718.5300000000001,29.5814348594545,141.382054634307,411.5883566515243,435.3725887141677,46.0,25,1,0,0,0,0,0,0,1,0,1
CUS_0x105b,Accountant,34428.21,2289.59370025646,Good,No,Low_spent_Large_value_payments,2.0,4.0,8.0,0.0,4.666666666666667,12.666666666666666,10.176666666666668,0.0,180.69999999999996,25.9975962829954,285.423799743535,201.59565312727932,329.239430206053,25.0,27,0,0,0,0,0,1,0,0,0,0
CUS_0x105c,Journalist,127617.6,10596.8,Good,No,High_spent_Large_value_payments,0.0,4.0,5.0,3.0,6.0,6.0,10.886666666666668,3.3333333333333335,542.91,34.0005830898557,211.054605997517,3672.9130141182445,709.0531052692232,55.0,24,0,0,0,0,1,0,1,1,0,0
CUS_0x1063,Architect,128698.76,10628.8966666666,Standard,Yes,High_spent_Large_value_payments,7.0,5.0,10.0,4.0,11.75,16.25,10.67,12.0,583.11,34.21770577283445,251.612782056361,497.6706306804907,431.9412439117033,20.0,17,0,0,1,0,1,0,0,1,1,0
CUS_0x1069,Accountant,58637.34,4799.445,Standard,Yes,High_spent_Large_value_payments,4.0,6.0,10.0,3.0,9.0,17.5,13.81,7.0,208.8,39.21689722384677,139.88501339271,134.86479837515046,452.6946882321383,32.0,31,1,0,0,0,0,0,1,0,1,0
CUS_0x106f,Developer,134035.08,11102.5899999999,Good,No,High_spent_Large_value_payments,0.0,5.0,10.0,2.0,5.0,5.25,9.32,8.0,767.91,39.59448310213153,143.483731999589,306.1836562056115,910.591611794795,55.0,25,0,0,0,1,1,0,0,0,0,0
CUS_0x1075,Manager,24709.33,1933.46871780168,Good,No,High_spent_Medium_value_payments,5.0,5.0,6.0,3.0,27.0,11.0,7.0,5.0,413.18,31.718192172360624,196.027161598755,57.821503753596375,364.90453351262477,39.0,18,0,0,1,0,0,0,0,0,1,1
CUS_0x107c,Journalist,49718.55,4179.2125,Bad,Yes,High_spent_Large_value_payments,7.0,10.0,27.0,6.0,25.333333333333332,16.0,5.5,8.0,1920.25,32.499060758078706,231.95678064503,182.16562543649252,267.1321772518093,15.0,14,1,0,0,1,1,0,0,1,0,0
CUS_0x107e,Architect,75095.91,6269.9925,Standard,Yes,High_spent_Large_value_payments,5.0,6.0,15.0,6.0,7.666666666666667,10.0,14.530000000000001,8.0,989.71,34.43691261746547,261.842408712709,171.98915704928368,446.5010175713387,15.0,12,0,0,0,1,0,0,0,1,1,1
CUS_0x1087,Doctor,42153.13,3377.76083333333,Good,No,High_spent_Large_value_payments,5.0,4.0,10.0,3.0,10.333333333333334,10.666666666666666,4.81,7.0,1027.64,34.34897526478644,79.2996114595877,70.10716151178724,431.702643695291,52.0,28,0,0,0,0,0,0,1,1,0,0
CUS_0x108a,Journalist,36982.36,2554.81382327358,Bad,Yes,Low_spent_Large_value_payments,7.0,9.0,21.0,9.0,16.25,15.0,26.36,15.0,4882.12,31.581117073771125,454.419552114283,129.544991976518,220.97129930227874,39.0,8,0,1,1,1,0,0,0,1,1,1
CUS_0x1096,Lawyer,12931.56,1348.63,Standard,Yes,High_spent_Medium_value_payments,4.0,4.0,9.0,3.0,19.5,20.5,17.26,3.75,752.86,33.23935965363347,20.5791547084859,52.37569312944795,329.4081521620655,43.0,21,0,0,1,1,0,0,1,0,0,0
CUS_0x1098,Musician,20652.98,1468.08166666666,Standard,Yes,Low_spent_Small_value_payments,7.0,5.0,21.0,2.0,22.0,12.75,15.58,12.0,1859.53,29.467530113792325,33.2383562399595,98.29726577707993,292.7725446496265,23.0,19,1,0,0,0,0,0,0,1,0,0
CUS_0x109b,Manager,31641.93,2610.8275,Standard,No,High_spent_Large_value_payments,4.0,6.0,7.0,3.0,25.0,12.0,8.036666666666664,2.6666666666666665,583.6,35.074988299077,60.33629926519111,71.7281835229676,379.01826721184034,56.0,20,0,0,0,0,0,0,0,0,1,1
CUS_0x109d,Writer,49140.87,4377.0725,Bad,Yes,High_spent_Large_value_payments,10.0,6.0,27.0,6.0,35.0,18.0,16.41,11.5,2950.8,35.48620770526695,154.172426325172,88.20090493237745,445.33391874244927,45.0,6,0,0,0,0,1,0,1,1,0,0
CUS_0x109f,Teacher,130435.86,10623.655,Good,No,High_spent_Medium_value_payments,4.0,6.0,9.0,2.0,17.0,1.0,10.85,3.0,942.71,29.5506019631962,188.186133221511,293.214103351452,830.965263427036,41.0,30,0,0,0,1,0,0,0,0,0,0
CUS_0x10a9,Journalist,17603.265,1324.94597836212,Standard,No,High_spent_Medium_value_payments,8.0,6.0,4.0,0.0,8.5,11.25,6.27,5.0,836.66,34.0333683706134,102.992771637873,76.0817645831074,336.71211041689173,42.0,16,0,0,0,0,0,1,0,0,0,0
CUS_0x10aa,Musician,114432.03,9272.0025,Good,No,Low_spent_Large_value_payments,1.0,2.0,7.0,0.0,9.0,10.0,11.98,6.5,444.51,31.5482958276988,0.0,712.2172660482745,484.98298395172446,20.0,21,0,0,0,0,0,1,0,0,0,0
CUS_0x10ac,Developer,16718.645,1270.22041666666,Standard,No,High_spent_Large_value_payments,7.0,3.0,15.0,4.0,25.0,10.333333333333334,12.783333333333331,1.0,853.41,29.012948945445032,50.96193590008911,51.05057985614863,285.0095259104283,29.0,16,0,1,1,1,0,0,0,0,0,0
CUS_0x10b3,Mechanic,136150.6,11127.8833333333,Good,No,High_spent_Medium_value_payments,1.0,5.0,9.0,3.0,7.5,0.0,8.72,3.0,260.29,37.0509195505361,177.654072182476,521.1565844458374,673.9776767050184,48.0,27,1,0,0,0,0,0,0,0,0,1
CUS_0x10bb,Journalist,60830.92,5044.24333333333,Good,No,High_spent_Large_value_payments,0.0,1.0,11.0,4.0,14.0,2.0,7.41,3.3333333333333335,133.63,29.22333790508163,159.799346999144,168.26758023024334,436.35740610394464,35.0,24,1,0,1,1,0,0,0,1,0,0
CUS_0x10c5,Entrepreneur,158623.16,13180.5966666666,Good,No,High_spent_Large_value_payments,2.0,7.0,10.0,1.0,11.666666666666666,4.333333333333333,6.373333333333334,2.0,1134.83,34.5109035421813,91.0339049796171,435.5399908783447,1048.1524374753683,24.0,30,0,0,0,0,0,0,0,1,0,0
CUS_0x10d7,Developer,15968.14,1380.67833333333,Bad,Yes,High_spent_Small_value_payments,7.0,7.0,21.0,9.0,37.0,18.0,18.593333333333334,14.0,4912.8,33.97258871370857,77.9971182164605,3395.4381876408643,227.81921229562965,40.0,12,1,1,0,0,1,0,0,0,1,1
CUS_0x10dd,Teacher,105645.6,9090.8,Standard,No,High_spent_Large_value_payments,4.0,3.0,5.0,4.0,28.333333333333332,18.666666666666668,2.0766666666666667,4.0,1336.91,36.66693974961567,315.40610064414,142.0126469139848,694.9945857752067,25.0,21,0,1,0,0,0,0,0,1,1,1
CUS_0x10df,Musician,9929.235,828.43625,Standard,Yes,Low_spent_Small_value_payments,4.0,8.0,23.0,3.0,13.0,18.0,11.5,14.0,2328.08,32.69914068524845,18.1209664418432,2545.9059940301904,273.285197178246,28.0,7,1,0,0,0,0,0,1,0,0,1
CUS_0x10e2,Media_Manager,43133.85,3432.4875,Bad,Yes,High_spent_Medium_value_payments,10.0,10.0,31.0,7.0,43.0,24.666666666666668,4.743333333333333,11.0,2504.1,32.4682936998995,151.287254975492,223.13247129044123,238.82902373406534,38.0,11,1,1,0,1,0,0,1,0,1,0
CUS_0x10e7,Engineer,64933.76,5368.14666666666,Standard,Yes,High_spent_Medium_value_payments,3.0,3.0,33.0,4.0,14.5,19.0,19.04,11.0,2699.17,30.366974584415,193.692582088778,233.5499005100485,372.07218406783875,20.0,14,1,0,1,1,1,0,0,0,0,0
CUS_0x10eb,Journalist,28315.95,2415.6625,Good,No,High_spent_Small_value_payments,4.0,7.0,10.0,2.0,9.75,8.5,10.34,4.25,677.4,35.50718255638188,30.2309962716401,118.9838673605625,357.3513863677965,51.0,20,0,0,0,0,0,0,0,1,0,1
CUS_0x10ee,Journalist,12660.16,909.013333333333,Standard,No,High_spent_Large_value_payments,5.0,7.0,15.0,0.0,10.5,13.0,9.1,4.0,456.02,31.895029200100723,0.0,33.643020265139825,316.9695208633892,30.0,25,0,0,0,0,0,1,0,0,0,0
CUS_0x10f9,Lawyer,150131.68,11102.1353217356,Good,No,High_spent_Large_value_payments,5.0,1.0,4.0,0.0,8.0,0.25,11.49,0.0,1138.36,32.780596371227205,1494.83801159767,2958.903829020472,1008.1365646775901,54.0,32,0,0,0,0,0,1,0,0,0,0
CUS_0x10fd,Developer,39576.59,3199.04916666666,Good,No,High_spent_Large_value_payments,0.0,7.0,2.0,4.0,12.666666666666666,5.0,4.62,3.0,226.37,30.707758482260633,124.31083909356,163.79054491727172,291.803532655834,30.0,20,0,0,0,1,1,0,0,0,1,0
CUS_0x10ff,Accountant,16341.075,1292.75625,Standard,No,Low_spent_Small_value_payments,4.0,4.0,6.0,2.0,10.0,19.0,11.63,4.0,684.05,32.75691429379415,16.9604604617571,94.8300039307732,307.48516060746897,37.0,17,1,0,0,0,0,0,0,0,0,1
CUS_0x1100,Accountant,43062.54,3607.545,Standard,Yes,High_spent_Large_value_payments,6.0,10.0,23.0,2.0,56.666666666666664,20.0,18.383333333333336,13.0,2169.75,26.172839711120968,47.4998187416123,107.68777273211829,455.56690852626866,22.0,15,0,0,0,0,1,0,0,0,0,1
CUS_0x1107,Writer,28952.76,2338.73,Bad,Yes,Low_spent_Small_value_payments,7.0,9.0,21.0,8.0,42.333333333333336,26.0,2.46,16.0,2717.85,30.821124751530565,155.779989011441,163.4146173952693,194.67839359328835,31.0,1,0,1,1,0,0,0,1,0,1,0
CUS_0x1108,Accountant,117499.47,9780.6225,Good,No,High_spent_Medium_value_payments,4.0,5.0,8.0,0.0,10.0,8.0,7.986666666666667,4.0,337.9,35.44451810418624,0.0,402.89075760392126,841.8381590627423,25.0,30,0,0,0,0,0,1,0,0,0,0
CUS_0x1109,Lawyer,76284.72,6451.06,Standard,Yes,High_spent_Large_value_payments,6.0,10.0,18.0,6.0,24.0,11.666666666666666,9.356666666666667,11.0,1957.32,28.8563715442084,222.959002284943,209.26577417076965,459.54789021095365,43.0,20,1,1,0,1,1,0,1,1,0,0
CUS_0x1119,Entrepreneur,56301.9,4593.825,Standard,Yes,Low_spent_Small_value_payments,9.0,5.0,26.0,2.0,14.0,17.5,16.23,14.0,2161.23,28.028822000872225,50.1193480873719,347.6456521231986,334.1174997894285,36.0,14,0,0,0,0,0,0,1,0,0,0
CUS_0x111b,Manager,70277.22,5633.435,Good,No,Low_spent_Small_value_payments,3.0,6.0,7.0,3.0,4.333333333333333,12.0,11.050000000000002,7.0,762.48,34.941544228565434,149.934106412344,383.63516714479834,306.44089310952234,41.0,20,0,0,0,1,0,0,1,0,0,0
CUS_0x111c,Journalist,71809.76,6168.14666666666,Bad,Yes,High_spent_Large_value_payments,7.0,7.0,17.0,8.0,52.0,14.333333333333334,1.58,7.0,4439.92,32.110336877171534,297.917684030006,217.15939617200561,355.0709197979877,24.0,7,1,0,1,1,1,0,1,1,1,0
CUS_0x1123,Writer,15264.98,1266.08166666666,Bad,Yes,Low_spent_Small_value_payments,6.0,5.0,34.0,3.0,26.333333333333332,14.333333333333334,11.346666666666666,14.0,2375.88,35.1138585711954,36.7900967112045,73.16148739264014,303.32324922948834,15.0,9,1,1,0,1,0,0,0,0,0,0
CUS_0x112d,Accountant,14728.21,1480.35083333333,Standard,Yes,High_spent_Small_value_payments,10.0,9.0,31.0,5.0,50.0,10.666666666666666,9.27,7.0,2390.37,31.879892523447932,41.5856512795479,116.67529087594812,266.4408078445027,23.0,17,0,0,0,0,0,0,1,1,1,0
CUS_0x112e,Mechanic,20162.26,1872.18833333333,Standard,No,High_spent_Large_value_payments,8.0,4.0,11.0,4.0,13.0,10.0,1.71,2.6666666666666665,660.26,32.293629246199266,66.244881724104,49.47999886223647,321.49395274699236,32.0,20,1,0,0,1,0,0,0,0,1,0
CUS_0x112f,Mechanic,75506.42,6050.20166666666,Good,No,High_spent_Large_value_payments,1.0,4.0,5.0,1.0,1.0,2.0,3.44,7.0,1069.19,28.377548920772753,60.903643233171,165.3408757256346,623.77564770786,21.0,24,1,0,0,0,0,0,0,0,0,0
CUS_0x1130,Journalist,137798.88,10609.7919086487,Standard,No,Low_spent_Large_value_payments,6.0,5.0,13.0,0.0,24.0,13.5,8.75,2.0,1056.3,30.90476330836395,988.448091351217,684.8331840094952,739.9908159905017,37.0,27,0,0,0,0,0,1,0,0,0,0
CUS_0x1132,Mechanic,46268.4,3983.7,Standard,Yes,High_spent_Medium_value_payments,5.0,4.0,20.0,4.0,26.5,16.0,7.08,9.0,1447.57,37.072939554433106,103.778050090146,108.54859446359615,446.0433554462565,40.0,14,0,0,1,1,0,0,0,0,0,1
CUS_0x1134,Doctor,15279.545,1517.79162712061,Good,No,Low_spent_Large_value_payments,0.0,5.0,8.0,3.0,2.0,5.0,6.99,7.0,168.35,30.464298337644948,76.5393032215948,97.46206238023206,300.03196561088953,49.0,31,0,1,1,0,1,0,0,0,0,0
CUS_0x1135,Journalist,83358.3,6896.525,Good,No,High_spent_Medium_value_payments,5.0,3.0,5.0,3.0,6.0,6.0,2.66,7.0,727.88,36.4857630909935,169.936004781247,197.647308616265,572.069186602487,22.0,31,1,0,0,0,0,0,1,0,0,0
CUS_0x1136,Entrepreneur,37360.94,2864.41166666666,Standard,Yes,High_spent_Medium_value_payments,10.0,5.0,33.0,5.0,44.0,12.0,7.890000000000001,11.0,1271.23,38.22716506773155,93.3417465671605,69.51927251151665,373.580147587989,22.0,12,1,0,1,1,1,0,1,0,0,0
CUS_0x1138,Lawyer,154868.24,13051.6866666666,Good,No,High_spent_Large_value_payments,2.0,5.0,10.0,0.0,15.0,3.0,5.826666666666667,6.0,242.75,37.175777579068466,0.0,267.4183163321207,1277.75035033454,44.0,30,0,0,0,0,0,1,0,0,0,0
CUS_0x1139,Scientist,94991.82,8144.985,Standard,Yes,High_spent_Large_value_payments,7.0,6.0,13.0,0.0,18.5,17.75,19.45,6.75,1320.61,34.97705114080408,0.0,5148.595809857068,681.7288856760765,32.0,26,0,0,0,0,0,1,0,0,0,0
CUS_0x113e,Manager,34476.68,2715.05666666666,Bad,Yes,Low_spent_Small_value_payments,6.0,7.0,24.0,8.0,36.0,17.0,4.48,16.0,1976.63,27.1223899927182,171.175758906454,10000.0,240.335946253901,45.0,11,1,0,1,0,1,0,1,0,1,1
CUS_0x1140,Accountant,7621.8,914.15,Bad,Yes,Low_spent_Medium_value_payments,6.0,10.0,28.0,6.0,18.0,19.0,27.01,14.0,4128.98,30.776791435487326,24.9062633623497,5013.847710682148,285.17440555819553,31.0,7,1,1,1,0,1,0,0,1,1,0
CUS_0x1144,Doctor,135851.24,11418.9366666666,Standard,Yes,Low_spent_Medium_value_payments,4.0,4.0,18.0,2.0,31.0,17.75,11.19,13.0,695.12,32.37335702709665,206.557193623806,836.6901615569502,378.6463114859063,43.0,25,1,0,0,1,0,0,0,0,0,0
CUS_0x1145,Teacher,17975.32,1444.94333333333,Bad,Yes,Low_spent_Medium_value_payments,6.0,5.0,32.0,9.0,61.0,25.666666666666668,7.566666666666667,13.0,1263.1,29.707083388674164,76.450324587172,114.15523804282206,237.222104036672,24.0,12,0,1,0,1,1,0,1,1,0,1
CUS_0x114a,Developer,15305.46,1230.455,Good,No,Low_spent_Small_value_payments,0.0,7.0,2.0,2.0,17.333333333333332,3.3333333333333335,10.949999999999998,2.6666666666666665,642.42,26.265740232556634,20.3016538684393,51.202831984657564,328.20768081356897,43.0,16,0,0,0,1,0,0,0,0,0,1
CUS_0x114b,Entrepreneur,107118.96,9104.58,Standard,Yes,High_spent_Large_value_payments,5.0,7.0,5.0,3.0,26.5,9.5,5.49,3.0,1049.33,36.460201327636256,139.565989835907,226.2240740351655,784.6679361289255,37.0,31,1,0,0,0,0,0,1,1,0,0
CUS_0x1151,Journalist,17692.27,1335.35583333333,Bad,Yes,Low_spent_Small_value_payments,6.0,5.0,29.0,6.0,35.666666666666664,24.333333333333332,28.12,9.0,3762.64,29.3270794607219,78.4472348823678,114.02786703426462,227.72714808336664,41.0,11,1,0,0,1,0,0,0,1,1,0
CUS_0x1152,Accountant,31316.47,2510.70583333333,Good,No,High_spent_Small_value_payments,0.0,2.0,6.0,2.0,11.0,3.5,4.94,1.5,800.89,25.1315055179126,30.8219796985055,134.41265656508364,350.8359470697435,29.0,18,0,0,0,0,0,0,0,1,1,0
CUS_0x1154,Developer,7645.095,632.09125,Bad,Yes,High_spent_Medium_value_payments,9.0,9.0,19.0,5.0,45.0,14.5,21.14,14.0,2869.83,30.700807403621553,17.4878510544758,16.0765829549385,295.648459561092,41.0,12,0,1,0,0,0,0,0,1,0,0
CUS_0x1155,Developer,158483.48,12927.9566666666,Good,No,High_spent_Large_value_payments,2.0,1.0,6.0,3.0,1.0,4.0,2.65,7.0,471.82,40.896306412662334,347.53545957543093,341.3216545575703,847.2718858669973,42.0,28,0,0,0,1,0,0,0,1,1,0
CUS_0x1156,Entrepreneur,10060.015,1103.33458333333,Standard,Yes,Low_spent_Medium_value_payments,3.0,9.0,17.0,6.0,19.25,12.0,10.04,15.0,1971.81,35.839339324691025,32.2843227691521,44.971731855586995,318.07740370859375,25.0,11,0,0,1,1,0,0,1,1,0,1
CUS_0x115c,Engineer,41695.76,3401.64666666666,Bad,Yes,High_spent_Medium_value_payments,6.0,7.0,15.0,9.0,26.5,21.0,25.99,11.0,4453.51,34.0108397271764,302.805725705767,208.70917424450397,88.64976671639515,20.0,8,0,1,1,0,1,0,1,0,0,1
CUS_0x1168,Writer,76440.52,6647.04333333333,Good,No,Low_spent_Medium_value_payments,0.0,4.0,9.0,2.0,9.0,3.6666666666666665,10.85,4.0,998.4699999999999,26.214955426988833,96.7497097890461,284.03409326559563,550.5871969453573,42.0,21,0,0,0,0,1,0,0,0,0,1
CUS_0x1169,Lawyer,115324.62,9772.385,Good,No,High_spent_Large_value_payments,2.0,5.0,8.0,4.0,6.0,7.0,5.5,3.0,1316.45,35.201597470697806,199.251259800121,215.56850952407552,802.4187306758015,34.0,24,0,1,0,0,0,0,0,1,0,1
CUS_0x117d,Media_Manager,70779.18,5861.26499999999,Good,No,High_spent_Medium_value_payments,1.0,4.0,9.0,4.0,14.0,0.0,3.61,9.0,1340.31,37.375530147410245,131.348311603367,256.589140481993,468.189047914639,24.0,21,0,0,1,0,0,0,1,0,0,1
CUS_0x117f,Scientist,93847.86,7599.655,Standard,No,High_spent_Large_value_payments,3.0,4.0,12.0,3.0,14.0,9.333333333333334,9.52,5.0,1405.22,33.756473346910774,196.72670190012096,249.71395494151457,583.5248431583631,52.0,16,0,1,0,1,1,0,0,0,0,0
CUS_0x1182,Musician,176696.88,13780.7746404987,Good,No,High_spent_Large_value_payments,5.0,7.0,12.0,4.0,5.333333333333333,7.666666666666667,4.01,6.0,433.68,35.05044534609883,1169.80911649645,517.3725569827263,902.3243526887703,24.0,17,0,0,1,1,0,0,1,1,0,0
CUS_0x1183,Mechanic,134393.73,10944.4775,Good,No,High_spent_Large_value_payments,1.0,3.0,12.0,2.0,13.0,2.0,11.49,3.0,945.29,29.38885206988965,136.030630478709,396.069210073324,819.8479094479658,23.0,26,0,1,0,0,1,0,0,0,0,0
CUS_0x1184,Lawyer,19867.475,1396.62291666666,Good,No,Low_spent_Small_value_payments,3.0,5.0,11.0,3.0,9.25,9.0,6.74,4.75,707.29,35.16329129081262,42.6068819626163,93.17914237656713,286.37626732748225,49.0,33,0,0,0,0,1,0,0,1,0,1
CUS_0x1185,Accountant,18963.65,1794.30416666666,Standard,Yes,High_spent_Large_value_payments,4.0,8.0,29.0,6.0,22.5,9.5,13.04,11.0,2422.18,29.6481135450934,64.1252949665756,72.88380227682525,309.92131942326523,25.0,7,0,1,1,0,0,0,1,1,1,1
CUS_0x1190,Media_Manager,44134.06,3182.48169540868,Good,No,High_spent_Small_value_payments,4.0,4.0,9.0,3.0,29.0,17.0,4.9,5.0,809.59,30.501810857248,551.27155385713,219.482577882832,334.786339518017,45.0,23,1,0,0,0,0,0,0,0,1,1
CUS_0x1192,Media_Manager,16319.375,1518.94791666666,Standard,No,Low_spent_Medium_value_payments,7.0,3.0,1.0,2.0,15.666666666666666,13.0,6.669999999999999,9.0,1275.32,34.6888321737147,16.2911288246262,106.45966570609818,312.47733046927465,47.0,24,0,0,0,0,0,0,0,1,0,0
